Source_Name,Original_Headline,Translated_Headline,Polarity
BBC Portuguese,Por dentro de grupos de WhatsApp de  brasileiros que usam até drones contra blitzes de Trump: 'Pegaram uma mulher e uma menina',Inside Brazil's WhatsApp groups who use Drones against Trump's blitzes: 'They took a woman and a girl',0.0
BBC Portuguese,Câmara vota isenção de Imposto de Renda até R$ 5 mil; entenda o que está em jogo,"House votes for income tax exemption up to R $ 5,000; Understand what is at stake",0.0
BBC Portuguese,Como se saber se bebida está adulterada  — e outras dúvidas sobre intoxicação por metanol,How to know if drink is tampered with - and other doubts about methanol poisoning,-0.125
BBC Portuguese,Trump cita 'inimigo interno' e diz que cidades americanas serão 'campo de treinamento' para militares,Trump cites 'internal enemy' and says that American cities will be 'training camp' for military personnel,-0.0333333333333333
BBC Portuguese,"'Plano de paz de Trump para Gaza ignora os interesses dos palestinos', diz membro do Hamas à BBC","'Trump's Peace Plan for Gaza ignores the interests of the Palestinians,' says Hamas member to the BBC",0.0
BBC Portuguese,Por que o governo dos EUA foi paralisado e quem serão os mais afetados,Why the US government has been paralyzed and who will be the most affected,0.5
BBC Portuguese,A briga na Justiça entre Ibama e influenciadora pela guarda da jaguatirica Pituca na Amazônia,The fight in justice between Ibama and influencer for the guard of Jaguatirica Pituca in the Amazon,0.0
BBC Russian,Дело об изнасиловании и убийстве школьницы всколыхнуло Кыргызстан. Президент страны предложил ввести за это смертную казнь,The case of rape and murder of a schoolgirl stirred Kyrgyzstan. The president of the country proposed to introduce the death penalty for this,0.0
BBC Russian,"LIVELive,Война в Украине: в ЕС нет единства по поводу «репарационного займа» Киеву из замороженных российских активов","Livelive, War in Ukraine: In the EU there is no unity about the “reparation loan” to Kyiv from frozen Russian assets",0.0
BBC Russian,"«Стена против дронов». Лидеры ЕС обсуждают на саммите в Дании, как защититься от России","""Wall against drones."" EU leaders are discussing at a summit in Denmark how to protect themselves from Russia",0.0
BBC Russian,"Пока мир ждет ответа ХАМАС на новый план Трампа по Газе, ЦАХАЛ почти окружил столицу сектора","While the world awaits Hamas’s answer to the new plan of Trump on Gaza, the IFAL almost surrounded the capital of the sector",0.1363636363636363
BBC Russian,Правительство США частично прекращает работу. Это четвертый шатдаун при Дональде Трампе,The US government partially stops working. This is the fourth Shatdown under Donald Trump,-0.05
BBC Russian,"Ученые впервые создали эмбрион, использовав ДНК из клеток кожи человека",Scientists first created an embryo using DNA from human skin cells,0.125
BBC Russian,Саудовская Аравия и зять Трампа купили гиганта игровой индустрии Electronic Arts за $55 млрд. Зачем Эр-Рияд захватывает рынок игр?,Saudi Arabia and Trump's son-in-law bought a giant of the Electronic Arts gaming industry for $ 55 billion. Why is Er-Riyad capturing the game market?,-0.2
BBC Russian,"Компьютерный ужас Голливуда. Американских кинозвезд напугала Тилли Норвуд — актриса, созданная искусственным интеллектом","Hollywood computer horror. Tilly Norwood, an actress created by artificial intelligence, scared American movie stars",-0.3
BBC Russian,"Мощное землетрясение на Филиппинах: погибли по меньшей мере 69 человек, спасатели разбирают завалы","A powerful earthquake in the Philippines: at least 69 people died, rescuers disassemble the rubble",0.0
BBC Russian,"«У меня не было миллионов в 14 лет». Джоан Роулинг не приняла оливковую ветвь от Эммы Уотсон, протянутую после ссоры вокруг трансфобии","""I did not have millions at 14 years old."" Joan Rowling did not accept the olive branch from Emma Watson stretched after a quarrel around Transfobia",0.025
BBC Japanese,トランプ氏のガザ和平案は「パレスチナ人の利益を無視」　ハマス幹部、BBCに語る,"Trump's Gaza peace plan ""ignors Palestinian interests"" Hamas executive tells BBC",0.0
BBC Japanese,アメリカ政府が閉鎖、7年ぶり　連邦議会で予算案可決されず,"US government shuts down for the first time in 7 years, budget proposal not passed by Congress",0.0472222222222222
BBC Japanese,フィリピン中部セブ島沖でM6.9の地震、少なくとも69人死亡,"At least 69 people die in M6.9 earthquake off Cebu, central Philippines",-0.15
BBC Japanese,"ビデオ,トランプ氏の和平計画、ガザ住民とイスラエル人の反応は, 所要時間 1,21","Video, Trump's peace plan, reactions between Gaza and Israelis, duration 1,21",0.0
BBC Japanese,暗号資産「世界最大」の押収、中国籍の女性が資金洗浄などで有罪　イギリス,"Chinese woman convicted of money laundering and other crypto assets, UK",-0.0625
BBC Japanese,トランプ氏、アメリカの都市を「軍の訓練場」にすべきと　将官らに演説,"Trump gives generals the idea that American cities should be turned into ""military training grounds""",-0.05
BBC Japanese,【解説】 トランプ氏のガザ和平案、「勢い」が強みだが「細部の欠如」が弱み　国際編集長,"[Explanation] Trump's Gaza peace proposal is his strength, but his weakness is his lack of detail; International Editor-in-Chief",0.0
BBC Japanese,ノルド・ストリーム爆破、ウクライナ人ダイバーを関与の疑いで拘束　ポーランド警察,Nord Stream Blasts Detains Ukrainian Diver on suspicion of involvement Polish police,0.0
BBC Japanese,コンゴ民主共和国の前大統領、欠席裁判で死刑判決　戦争犯罪など,Former president of the Democratic Republic of Congo sentences death penalty in absent trial; war crimes etc.,0.0
Other,"Moja kwa moja,Serikali ya Marekani yafunga shughuli zake rasmi","Directly, the US government closes its official activities",0.1
Other,"Zaidi ya wapiganaji 7,000 wameajiriwa na M23- Umoja wa Mataifa","More than 7,000 fighters employed by M23- UN",0.5
Other,"Je, kufungwa kwa serikali ya Marekani kutakuwa na athari gani?",What effect will the closure of the US government have?,0.0
Other,Fahamu mpango wa amani wa Trump  Gaza wenye vipengele 20 kwa kina,Be aware of Trump Gaza Peace Plan with 20 components in depth,0.25
Other,Rais wa zamani wa Congo ahukumiwa kifo kwa uhalifu wa kivita,Former Congo president is sentenced to death for war crimes,0.0
Other,"Mtandao ndio ulikuwa tegemeo, jinsi wanawake wa Afghanistan walivyopoteza 'tumaini lao pekee'","The Internet was the most dependent, how Afghan women lost their 'hope only'",0.25
Other,Mbinu mpya inayowezesha utengenezaji wa viinitete kutokana na ngozi ya binadamu,A new technique that enables the manufacture of vintage from human skin,0.0681818181818181
Other,Zijue pandashuka za ushirikiano wa Trump na Netanyahu,Know the Trump and Netanyahu Partnerships.,0.0
Other,Tetesi za soka Ulaya Jumatano: Tottenham Hotspur sasa yamtaka beki wa Crystal Palace Marc Guehi,European football rumors on Wednesday: Tottenham Hotspur now wants Crystal Palace defender Marc Guehi,0.1
Other,Mshukiwa wa ugaidi aliyekwepa mitego ya FBI kwa miaka 21 alivyokamatwa,A terrorist suspect who has avoided FBI traps for 21 years arrested,0.0
